Lung/pleura|Lung/pleura|Brain|Adrenal|Bone|Deceased,2
Lung/pleura|Pericardium|Bone|Deceased,2
Lung/pleura|Lung/pleura|Adrenal|Deceased,2
Lung/pleura|Liver|Chest Wall|Lung/pleura|Brain|Liver|Deceased,1
Lung/pleura|Liver|Lung/pleura|Brain|Pericardium|Bone|Deceased,1
Lung/pleura|Liver|Lung/pleura|Brain|Kidney|Adrenal|Muscles|Bone|Pancreas|Deceased,1
Lung/pleura|Liver|Lung/pleura|Brain|Bone|Brain|Deceased,1
Lung/pleura|Liver|Brain|LN (dist)|Adrenal|Muscles|Bone|Deceased,1
Lung/pleura|Lung/pleura|Chest Wall|Bone|Deceased,1
Lung/pleura|Brain|Lung/pleura|Deceased,1
Lung/pleura|Liver|Brain|LN (dist)|Adrenal|Other CNS|Bone|Deceased,1
Lung/pleura|Lung/pleura|Brain|Liver|Deceased,1
Lung/pleura|Lung/pleura|Bone|Ab Wall|Living,1
Lung/pleura|Liver|Lung/pleura|Brain|LN (dist)|Adrenal|Spleen|Deceased,1
Lung/pleura|Liver|Lung/pleura|Ab Wall|Bone|Spleen|Bone|Deceased,1
Lung/pleura|Liver|Chest Wall|Adrenal|Ab Wall|Muscles|Deceased,1
Lung/pleura|Liver|Lung/pleura|Spleen|Bone|Deceased,1
Lung/pleura|Liver|Brain|Bone|Lung/pleura|Deceased,1
Lung/pleura|Lung/pleura|Brain|Muscles|Bone|Deceased,1
Lung/pleura|Bone|Lung/pleura|Adrenal|Deceased,1
Lung/pleura|Brain|Adrenal|Deceased,1
Lung/pleura|Lung/pleura|Bone|LN (dist)|Adrenal|Ab Wall|Deceased,1
Lung/pleura|Liver|Lung/pleura|Skin|Muscles|Bone|Liver|Lung/pleura|Adrenal|Deceased,1
Lung/pleura|Lung/pleura|LN (dist)|Brain|Other CNS|Bone|Deceased,1
Lung/pleura|Pericardium|Deceased,1
Lung/pleura|Lung/pleura|Brain|Pericardium|Bone|Lung/pleura|Deceased,1
Lung/pleura|Lung/pleura|Adrenal|Spleen|Deceased,1
Lung/pleura|Lung/pleura|Ab Wall|Muscles|Bone|Deceased,1
